frac, num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
single,4,3,0.8,0.8,70,110,13,769,11,402,0.6543933054393305,0.5416666666666666,0.03132530120481928,0.05922551252847381
single,4,3,0.8,0.8,70,115,6,772,8,409,0.6510460251046025,0.42857142857142855,0.014457831325301205,0.027972027972027972
single,4,3,0.8,0.8,75,40,414,26,754,1,0.3682008368200837,0.3544520547945205,0.9975903614457832,0.5230574857864813
single,4,3,0.8,0.8,75,45,414,52,728,1,0.3899581589958159,0.36252189141856395,0.9975903614457832,0.5317919075144508
single,4,3,0.8,0.8,75,50,412,96,684,3,0.4251046025104602,0.3759124087591241,0.9927710843373494,0.5453342157511581
single,4,3,0.8,0.8,75,55,405,163,617,10,0.47531380753138075,0.39628180039138944,0.9759036144578314,0.5636743215031316
single,4,3,0.8,0.8,75,60,401,221,559,14,0.5205020920502093,0.41770833333333335,0.9662650602409638,0.5832727272727273
single,4,3,0.8,0.8,75,65,387,274,506,28,0.5531380753138075,0.4333706606942889,0.9325301204819277,0.591743119266055
single,4,3,0.8,0.8,75,70,377,345,435,38,0.6041841004184101,0.4642857142857143,0.908433734939759,0.6145069274653627
single,4,3,0.8,0.8,75,75,343,429,351,72,0.6460251046025105,0.4942363112391931,0.8265060240963855,0.618575293056808
single,4,3,0.8,0.8,75,80,304,508,272,111,0.6794979079497908,0.5277777777777778,0.7325301204819277,0.6135216952573158
single,4,3,0.8,0.8,75,85,261,593,187,154,0.7146443514644352,0.5825892857142857,0.6289156626506024,0.6048667439165701
single,4,3,0.8,0.8,75,90,216,663,117,199,0.7355648535564854,0.6486486486486487,0.5204819277108433,0.5775401069518715
single,4,3,0.8,0.8,75,95,162,707,73,253,0.7271966527196653,0.6893617021276596,0.39036144578313253,0.49846153846153846
single,4,3,0.8,0.8,75,100,115,735,45,300,0.7112970711297071,0.71875,0.27710843373493976,0.4
single,4,3,0.8,0.8,75,105,74,754,26,341,0.6928870292887029,0.74,0.1783132530120482,0.28737864077669906
single,4,3,0.8,0.8,75,110,41,764,16,374,0.6736401673640168,0.7192982456140351,0.09879518072289156,0.17372881355932204
single,4,3,0.8,0.8,75,115,16,769,11,399,0.6569037656903766,0.5925925925925926,0.03855421686746988,0.07239819004524888
single,4,3,0.8,0.8,80,40,415,16,764,0,0.3606694560669456,0.3519932145886344,1.0,0.520702634880803
single,4,3,0.8,0.8,80,45,414,33,747,1,0.37405857740585774,0.35658914728682173,0.9975903614457832,0.5253807106598984
single,4,3,0.8,0.8,80,50,412,68,712,3,0.401673640167364,0.3665480427046263,0.9927710843373494,0.5354126055880442
single,4,3,0.8,0.8,80,55,410,123,657,5,0.44602510460251044,0.38425492033739456,0.9879518072289156,0.553306342780027
single,4,3,0.8,0.8,80,60,405,176,604,10,0.48619246861924686,0.40138751238850345,0.9759036144578314,0.5688202247191011
single,4,3,0.8,0.8,80,65,400,237,543,15,0.5330543933054394,0.4241781548250265,0.963855421686747,0.5891016200294551
single,4,3,0.8,0.8,80,70,386,280,500,29,0.5573221757322175,0.435665914221219,0.9301204819277108,0.5933897002305918
single,4,3,0.8,0.8,80,75,375,350,430,40,0.606694560669456,0.4658385093167702,0.9036144578313253,0.6147540983606558
single,4,3,0.8,0.8,80,80,336,439,341,79,0.6485355648535565,0.4963072378138848,0.8096385542168675,0.6153846153846154
single,4,3,0.8,0.8,80,85,303,519,261,112,0.6878661087866109,0.5372340425531915,0.7301204819277108,0.6189989785495403
single,4,3,0.8,0.8,80,90,263,596,184,152,0.7188284518828452,0.5883668903803132,0.6337349397590362,0.6102088167053364
single,4,3,0.8,0.8,80,95,213,658,122,202,0.7288702928870293,0.6358208955223881,0.5132530120481927,0.568
single,4,3,0.8,0.8,80,100,172,708,72,243,0.7364016736401674,0.7049180327868853,0.41445783132530123,0.5220030349013657
